1	General Attendance
2	Old Attendance (Return)
3	Inpatient care (IPT)
4	Persons admitted
5	Inpatient discharges
6	Death among in/out-patient (both children/pregnant by age)
7	Maternal Mortality
8	Deaths of women of child bearing age (pregnancy related deaths)
9	Confirmed maternal deaths due to:
10	Confirmed neonatal deaths due to:
11	Confirmed under 5 deaths due to:
12	Antenatal attendance 1st visit pregnant women
13	Antenatal attendance re-visit
14	Pregnant women that attended antenatal clinic for 4th visit
15	Pregnant women that attended antenatal clinic for 8th visit
16	Pregnant women counselled on Family Planning (FP)
17	Pregnant women counselled on HIV/AIDS
18	Pregnant women counselled on Maternal Nutrition during ANC
19	ANC syphilis test done
20	ANC syphilis test positive
21	ANC syphilis test treated
22	ANC Hepatitis B test done
23	ANC Hepatitis B test positive
24	ANC Hepatitis B cases referred for treatment
25	ANC Hepatitis C test done
26	ANC Hepatitis C test positive
27	ANC Hepatitis C cases referred for treatment
28	Pregnant women who received malaria intermittent preventive treatment first dose (IPT1)
29	Pregnant women who received malaria intermittent preventive treatment second dose (IPT2)
30	Pregnant women who received malaria intermittent preventive treatment third dose (IPT3)
31	Pregnant women who received malaria intermittent preventive treatment more than third dose (IPT>=4)
32	Pregnant women who received TT2/Tetanus Toxoid Booster
33	Pregnant women who received Td 2 plus / Booster
34	Pregnant women who received Iron/Folate supplement
35	Number of pregnant women referred
36	Total Deliveries in the facility (Live + Still)
37	Deliveries by Skilled Birth Attendant (SBA)
38	Live Births
39	Still Births (Macerated & Fresh)
40	Assisted Deliveries (Vacuum/Forceps)
41	Caesarean Sections (CS)
42	Postpartum Haemorrhage (PPH) cases
43	Eclampsia/Pre-Eclampsia cases
44	Maternal Deaths (within 42 days of delivery)
45	Women counselled on Exclusive Breastfeeding (EBF)
46	Newborns (0-28 days) seen for PNC check
47	Women seen for PNC check within 48 hours
48	Women seen for PNC check between 3-7 days
49	Women seen for PNC check between 8 days-6 weeks
50	PNC clients screened for Postpartum Depression
51	Women counselled on Family Planning (FP) during PNC
52	Women provided with a Family Planning Method during PNC
53	Women seen with Puerperal Sepsis (post-delivery infection)
54	Women seen with Puerperal Sepsis and treated
55	PNC clients referred to other services
56	BCG
57	OPV0
58	OPV1
59	OPV2
60	OPV3
61	PENTA 1
62	PENTA 2
63	PENTA 3
64	PCV 1
65	PCV 2
66	PCV 3
67	IPV 1
68	IPV 2
69	Measles Containing Vaccine 1 (MCV 1)
70	Measles Containing Vaccine 2 (MCV 2)
71	Yellow Fever (YF)
72	Newborns receiving Hepatitis B zero dose (Hep B0)
73	HPV (Human Papillomavirus) 1st Dose (for 9-14yr girls)
74	HPV 2nd Dose (for 9-14yr girls)
75	Children (0-11 months) fully immunized
76	Total number of children 12-23 months fully immunized
77	Children (0-59 months) given Vitamin A (1st dose - 6 months)
78	Children (12-59 months) given Vitamin A (2nd dose - 12 months)
79	Children (12-59 months) given Deworming tablets
80	Children (0-11 months) defaulters tracked and brought back
81	Children (0-11 months) immunized outside routine session
82	Number of RI sessions held
83	Number of mobile/outreach sessions held
84	Children immunized with only BCG
85	Children immunized with only OPV0
86	Children (0-5 months) exclusively breastfed
87	Children (6-23 months) fed appropriately (minimum dietary diversity)
88	Children (0-59 months) screened for acute malnutrition (MUAC)
89	Children (0-59 months) with Severe Acute Malnutrition (SAM) new cases
90	Children (0-59 months) with Moderate Acute Malnutrition (MAM) new cases
91	Children (0-59 months) with SAM admitted to CMAM (OTP)
92	Children (0-59 months) with SAM discharged from CMAM (OTP) - Recovered
93	Children (0-59 months) with SAM discharged from CMAM (OTP) - Defaulted
