"model","date_fields"
"AntenatalFollowUpAssessment","month_year, visit_date, next_return_date"
"Bed","last_status_changed_at"
"ChildHealthActivityRecord","month_year, visit_date"
"ClinicalNote","month_year"
"DailyAttendance","month_year, visit_date, date_of_birth"
"Delivery","month_year, cl_date, dodel, still_birth, live_births"
"DoctorAssessment","month_year, visit_date, next_appointment_date"
"DrugDispenseLine","month_year, dispensed_date"
"DrugStockBatch","received_date, expiry_date"
"DrugStockMovement","moved_at"
"FamilyPlanningFollowUp","month_year, visit_date, next_appointment_date"
"ImmunizationRecord","month_year, visit_date, hepb0_date, opv0_date, bcg_date, opv1_date, penta1_date, pcv1_date, rota1_date, opv2_date, penta2_date, pcv2_date, rota2_date, ipv1_date, rota3_date, opv3_date, penta3_date, pcv3_date, mr1_date, yf_date, mr2_date, mena_date, yf2_date, slea_date, vita1_date, vita2_date, ipv2_date, hpv_date"
"InpatientAdmission","admitted_at, discharged_at"
"Invoice","month_year, invoice_date"
"InvoiceLine","service_date"
"LabEquipmentLog","performed_date, next_due_date"
"LabProcessingBatch","run_date, completed_at"
"LabQcLog","qc_date"
"LabReagentMovement","moved_at"
"LabReagentStock","expiry_date"
"LabSample","collected_at, received_at"
"LabTest","month_year, visit_date, sign_date"
"LabTestOrder","month_year, visit_date, requested_at, completed_at"
"LinkedChild","date_of_birth, birth_weight, birth_length, birth_order, deceased_date, graduated_at"
"NutritionRecord","month_year, visit_date"
"Patient","date_of_birth, registration_date, nhis_expiry_date"
"PatientPayment","month_year, payment_date"
"PostnatalRecord","month_year, visit_date, delivery_date"
"Prescription","month_year, prescribed_date, dispensed_date"
"Referral","month_year, referral_date, completed_date, focal_date"
"Registrations/AntenatalRegistration","registration_date, lmp, edd, total_births"
"Registrations/DinActivation","visit_date"
"Registrations/FamilyPlanningRegistration","registration_date, miscarriages_stillbirths_abortions"
"Registrations/GeneralPatientsRegistration","registration_date"
"Reminder","reminder_date, queued_at, sent_at, failed_at"
"ReminderDispatchLog","sent_at, failed_at"
"RiskPrediction","assessment_date, next_assessment_due"
"TetanusVaccination","visit_date, dose_date, next_appointment_date, expiry_date"
"Visit","visit_date"
